Date,State,Estimated_Migrant_Workers,GSDP_per_capita_Lakhs,Avg_Wage,Unemployment_Rate_%,Corn_Yield_kg_per_ha,Rice_Yield_kg_per_ha,Wheat_Yield_kg_per_ha,T2M,RH2M,WS2M,PRECTOTCORR,ALLSKY_SFC_SW_DWN,PS,Population
2025-01,Andhra Pradesh,0,19.219412530465835,27950.637077751533,5.837442386263453,2473.005504729053,2958.518058598712,2681.3958484497566,24.27643545714396,73.08897746036368,1.9075791758858087,0.3632798882660997,15.225151080980089,100.53701731753488,98195539.80604687
2025-02,Andhra Pradesh,0,21.08205234170008,27934.56937245484,5.9672816205169195,2527.668989911814,3125.9152586403875,2825.5973743259947,26.406952247077875,64.79601919877439,2.1991298046025554,0.4682997123166939,19.40060892555926,100.41846992516115,98279329.0946087
2025-03,Andhra Pradesh,0,20.881166590259607,27846.29176339384,6.089703111871331,2623.1457994754132,3113.5409371125897,2751.321335718605,29.74333222324675,60.3062950713921,2.7306945978412607,0.42537395962460667,21.303812886538992,100.17843111370222,98364457.79075202
2025-04,Andhra Pradesh,0,19.644799099964462,27934.780744850672,6.265703683908343,2435.2308261897024,3166.52210763285,2868.9040380625424,32.264486126910846,59.00154219375488,3.1490780452707434,0.6117447110256817,22.73075793460746,99.91580918997708,98448505.85609552
2025-05,Andhra Pradesh,0,20.338212774818363,28003.917379585542,6.340363281940767,2518.9125209383765,2940.438149989359,2850.8641684124395,33.58024840136482,56.768893192679975,3.223673015115832,1.7852228815840636,21.494262566800867,99.57010476468854,98532413.30215506
2025-06,Andhra Pradesh,0,21.325992386580907,27905.196301360338,6.2855403575087925,2469.389078955106,3048.356002012783,2897.1724915765994,31.001278444672597,65.0643947013319,3.652811451865581,3.1241873191273264,18.10812291699742,99.47740244584384,98616619.84528244
2025-07,Andhra Pradesh,0,20.782793460778215,27986.855460579995,6.253148382909767,2588.5205106426993,3074.8515777201383,2762.310755249257,29.542111140287954,71.73115271270224,3.7837910732926514,4.456061915207192,15.679194836202353,99.47720837345886,98700700.31813316
2025-08,Andhra Pradesh,0,20.634640927056186,28053.971248897626,6.466586561619718,2501.2484787029657,3020.982543176697,2796.449419545739,28.683193950717865,77.72644042692245,3.157347304371606,5.073290353257592,16.75656453528721,99.57782277073446,98785208.60660204
2025-09,Andhra Pradesh,0,21.00742924894947,28019.19415309285,6.292688177932212,2495.0827363154026,3038.9067962708596,2807.479888692175,27.911572026288532,82.90263224826539,2.2152620341678744,5.1135649062933,16.278908458479215,99.73667544315823,98869731.91351482
2025-10,Andhra Pradesh,0,21.566272018720536,27926.65393137776,6.032517329308669,2507.4573524919056,3136.460683133774,2967.8244247849393,26.81538920426876,83.57455760982633,1.8137193171552572,5.093336751756581,15.60756141925323,100.04754719488785,98954086.73143972
2025-11,Andhra Pradesh,0,22.28034058291092,27989.72578861666,6.2308381251393135,2492.144878795675,3124.0075752983144,2803.4284183160016,24.733599758961592,83.5468924771076,2.036453010865057,2.9441076385075924,14.408075908644879,100.35336645383921,99038513.23802917
2025-12,Andhra Pradesh,0,21.875851318250245,27976.440599613623,5.689534189116951,2563.7798574612666,3129.658558591459,2930.3009161465257,23.349873361598696,79.3261038721182,1.9099086332977273,0.8738257646774712,14.501216419986715,100.50859893492803,99122636.0418025
2026-01,Andhra Pradesh,0,19.592527376883417,28532.987037392733,5.848088651071641,2486.8914497959804,3036.508796784717,2676.644689190359,24.14298173761794,73.67627729717944,1.8992114844342258,0.3711137859088698,15.511602226452522,100.53852298972318,99205342.39808014
2026-02,Andhra Pradesh,0,21.48442890514752,28500.15772327629,5.945769642629356,2551.774120938077,3140.6198000376917,2821.010536644602,26.47510619081179,65.77421052283042,2.254573831879873,0.4584198404387432,19.174717035268305,100.41756923577104,99289410.01062082
2026-03,Andhra Pradesh,0,21.290531419193858,28513.634291438066,6.109869487235932,2623.961078852777,3093.75990624816,2769.0226243481707,29.692097799652046,60.599641146763545,2.67905689821986,0.3070267510789719,21.228317416052313,100.18236792690521,99372199.79223967
2026-04,Andhra Pradesh,0,20.033407036857778,28426.85681787143,6.2832672382876895,2433.8128006868224,3153.765188605429,2829.6945427817295,32.036829318425596,59.77934964268693,3.139710853121861,0.6478374414261219,22.53294693935507,99.93365428393766,99456903.43757321
2026-05,Andhra Pradesh,0,20.773294765693134,28472.27183736253,6.335680790970142,2552.1915735687153,2994.5217020701953,2901.130087534806,33.66410415111622,57.039663631205514,3.2031400538222465,1.6582513568177477,21.39228799938464,99.57812356837375,99541355.10926075
2026-06,Andhra Pradesh,0,21.68365328525323,28493.101981063646,6.282058240124916,2408.565293275995,3028.390273406464,2918.3217677779026,31.248767799753367,65.1976761342708,3.612653245800655,3.243028338017263,18.149866478527436,99.46168509249328,99625865.92113583
2026-07,Andhra Pradesh,0,21.160820853737505,28543.918386246674,6.271353525194951,2586.766084200485,3098.9816348512973,2728.9259512707617,29.48346591560843,72.44467154710183,3.8724461894790174,4.766194667733865,15.622247710910795,99.48347808142742,99710003.80961527
2026-08,Andhra Pradesh,0,21.028095217982425,28667.780381120912,6.4734028921200855,2532.2521628606933,3002.8538335164358,2776.879671924133,28.504268908339064,78.78796236977897,3.1261737062337565,4.833652087866953,16.3482470791157,99.57729992361695,99794333.59890027
2026-09,Andhra Pradesh,0,21.408101527384463,28565.036293586134,6.2656398474992745,2475.367634098863,3186.054736777237,2789.4742166426217,27.89738892094016,83.34076831424403,2.2347320374576576,4.886509786857143,16.399393513323297,99.73033236270788,99878618.67518193
